영문	정본	금지어	비고	범위
Crystals	크리스탈	결정|결정석|수정	재화. 「결정」은 決定과 겹침	patch
Crystal Find	크리스탈 발견	수정 발견	신전 버프	both
Crystals Found	크리스탈 발견	획득 결정량|보너스 크리스탈	Crystal Find 와 같은 스탯 · 금지어 「보너스 크리스탈」은 Bonus Crystals 의 정본이라 패치에서만 검사	patch
Bonus Crystals	크리스탈 보너스 획득량	골드 크리스탈 보너스	Crystals Found 와 별개 스탯	patch
Prismatic	프리즈매틱	무지갯빛	레시피책 표기에 맞춤	both
Anomaly	아노말리	변칙|변칙 구역|변칙 던전	「이상」은 以上 과 겹침	both
Anomalies	아노말리	변칙|변칙 구역		both
Elixir	엘릭서	비약|영약	아이템명 13개 기준	both
Vial	투척병	바이알		both
Spellbook	마법서		Scroll 과 충돌하던 것	patch
Scroll	주문서	두루마리		both
Codex	코덱스		도감(The Codex)과 구분	both
The Codex	도감		게임 내 백과사전	both
Runestone	룬스톤			both
Blank Runestone	빈 룬스톤			both
Runelord's Remorse	룬군주의 후회	룬로드의 후회		both
Champion's Crown	챔피언의 왕관		변환 주 재화	both
Dragonkin	용의 동족	용의 혈족|드래곤킨	버서커 트리	both
Cube	큐브	정방형	보석·소켓 모양	patch
Sphere	구체	구형		patch
Star	별	성형		patch
Rough	거친		보석 1등급	patch
Cut	세공된		보석 2등급	patch
Polished	연마된		보석 3등급	patch
Ancient Hilt	고대 검자루		검	both
Ancient Blade	고대 칼날	고대의 칼날	검	patch
Ancient Shaft	고대 자루	고대 화살대	도끼	both
Ancient Axe Blade	고대 도끼날		도끼	both
Ancient String	고대 활시위	고대의 줄	활	both
Ancient Bow	고대 활		활	both
Ancient Power Crystal	고대 동력 크리스탈	고대 파워 크리스탈|고대 동력 수정	지팡이	both
Ancient Staff	고대 지팡이	고대의 지팡이	지팡이	patch
Ancient Straps	고대 끈	고대의 끈	건틀릿	patch
Ancient Gloves	고대 장갑	고대의 장갑	건틀릿	patch
Theo	테오		형태 변환사	both
Chantie	찬티		마법부여사	both
Chantelle	샹텔		고대의 마법부여사 — 찬티와 별개	both
Gemma	젬마		보석 및 홈 세공사	both
Medella	메델라		헬포지 관리자	both
Korem	코렘		인도자 및 기술 초기화	both
Tarot	타로		도박꾼	both
Sarek	사렉		물약 및 장비 상인	both
Tinka	틴카		기계공	both
Crystal Hoarder	크리스탈 사재기꾼	크리스탈 수집가	도움말이 다르게 적고 있었음	both
Gem Hoarder	보석 사재기꾼	보석 수집가		both
Collector	수집가	제작 재료 수집가		patch
Treasurer	재무관	보물 보유자		both
Desecrator	모독자	파멸자	워록 세트·마스터리	patch
Overpower	제압	압도	저항 관통 스탯	patch
Reach	사거리	리치|도달 범위|공격 범위/유효 거리	스탯 화면 표기. 「리치」는 워록 Lich 트리, 「범위」는 일반 명사와 겹쳐 금지어를 좁혔다	patch
Parry	패리	패링|받아치기|받아넘기기	메카니스트 전용 방어 스탯	both
Lich	리치		워록 트리 — Reach 와 혼동 주의	both
Detonation	폭발		워록. Blast(포격)와 구분	both
Blast	포격		메카니스트. Detonation(폭발)과 구분	both
Leap	도약		버서커. Hop(뜀뛰기)과 구분	both
Cape	망토		Cloak(외투)과 구분	both
Evasion	회피		Elusive(날렵함)와 구분	both
Burning	화상		상태. Combustion(연소)과 구분	both
Knockback	밀쳐내기	넉백|밀치기	화면 표기. 위키가 「넉백」·「밀림」으로 갈려 있었다	both
Isolation	고립 모드	격리	1.54 신규 캐릭터 모드	both
Trove	보물함	보물고	각 막 선택 구역의 대형 상자	both
Shrine	신단	신전 버프|신전 대량|신전 효과	만지는 대상. 「신전」은 Temple 과 겹친다. 「성소」는 Inner Sanctum 이라 금지어에서 뺐다	both
Deepwood	깊은숲	딥우드	지역명	both
Shadow	암흑	어둠 피해|어둠 저항|어둠 속성|그림자	원소. SHADOW 치환 토큰이 「암흑」이라 그쪽이 정본	both
